Value; Result
-0.100000;-10.000000
-0.099900;-10.010010
-0.099800;-10.020040
-0.099700;-10.030090
-0.099600;-10.040161
-0.099500;-10.050251
-0.099400;-10.060362
-0.099300;-10.070493
-0.099200;-10.080645
-0.099100;-10.090817
-0.099000;-10.101010
-0.098900;-10.111223
-0.098800;-10.121457
-0.098700;-10.131712
-0.098600;-10.141988
-0.098500;-10.152284
-0.098400;-10.162602
-0.098300;-10.172940
-0.098200;-10.183299
-0.098100;-10.193680
-0.098000;-10.204082
-0.097900;-10.214505
-0.097800;-10.224949
-0.097700;-10.235415
-0.097600;-10.245902
-0.097500;-10.256410
-0.097400;-10.266940
-0.097300;-10.277492
-0.097200;-10.288066
-0.097100;-10.298661
-0.097000;-10.309278
-0.096900;-10.319917
-0.096800;-10.330579
-0.096700;-10.341262
-0.096600;-10.351967
-0.096500;-10.362694
-0.096400;-10.373444
-0.096300;-10.384216
-0.096200;-10.395010
-0.096100;-10.405827
-0.096000;-10.416667
-0.095900;-10.427529
-0.095800;-10.438413
-0.095700;-10.449321
-0.095600;-10.460251
-0.095500;-10.471204
-0.095400;-10.482180
-0.095300;-10.493179
-0.095200;-10.504202
-0.095100;-10.515247
-0.095000;-10.526316
-0.094900;-10.537408
-0.094800;-10.548523
-0.094700;-10.559662
-0.094600;-10.570825
-0.094500;-10.582011
-0.094400;-10.593220
-0.094300;-10.604454
-0.094200;-10.615711
-0.094100;-10.626993
-0.094000;-10.638298
-0.093900;-10.649627
-0.093800;-10.660981
-0.093700;-10.672359
-0.093600;-10.683761
-0.093500;-10.695187
-0.093400;-10.706638
-0.093300;-10.718114
-0.093200;-10.729614
-0.093100;-10.741139
-0.093000;-10.752688
-0.092900;-10.764263
-0.092800;-10.775862
-0.092700;-10.787487
-0.092600;-10.799136
-0.092500;-10.810811
-0.092400;-10.822511
-0.092300;-10.834236
-0.092200;-10.845987
-0.092100;-10.857763
-0.092000;-10.869565
-0.091900;-10.881393
-0.091800;-10.893246
-0.091700;-10.905125
-0.091600;-10.917031
-0.091500;-10.928962
-0.091400;-10.940919
-0.091300;-10.952903
-0.091200;-10.964912
-0.091100;-10.976948
-0.091000;-10.989011
-0.090900;-11.001100
-0.090800;-11.013216
-0.090700;-11.025358
-0.090600;-11.037528
-0.090500;-11.049724
-0.090400;-11.061947
-0.090300;-11.074197
-0.090200;-11.086475
-0.090100;-11.098779
-0.090000;-11.111111
-0.089900;-11.123471
-0.089800;-11.135857
-0.089700;-11.148272
-0.089600;-11.160714
-0.089500;-11.173184
-0.089400;-11.185682
-0.089300;-11.198208
-0.089200;-11.210762
-0.089100;-11.223345
-0.089000;-11.235955
-0.088900;-11.248594
-0.088800;-11.261261
-0.088700;-11.273957
-0.088600;-11.286682
-0.088500;-11.299435
-0.088400;-11.312217
-0.088300;-11.325028
-0.088200;-11.337868
-0.088100;-11.350738
-0.088000;-11.363636
-0.087900;-11.376564
-0.087800;-11.389522
-0.087700;-11.402509
-0.087600;-11.415525
-0.087500;-11.428571
-0.087400;-11.441648
-0.087300;-11.454754
-0.087200;-11.467890
-0.087100;-11.481056
-0.087000;-11.494253
-0.086900;-11.507480
-0.086800;-11.520737
-0.086700;-11.534025
-0.086600;-11.547344
-0.086500;-11.560694
-0.086400;-11.574074
-0.086300;-11.587486
-0.086200;-11.600928
-0.086100;-11.614402
-0.086000;-11.627907
-0.085900;-11.641444
-0.085800;-11.655012
-0.085700;-11.668611
-0.085600;-11.682243
-0.085500;-11.695906
-0.085400;-11.709602
-0.085300;-11.723329
-0.085200;-11.737089
-0.085100;-11.750881
-0.085000;-11.764706
-0.084900;-11.778563
-0.084800;-11.792453
-0.084700;-11.806375
-0.084600;-11.820331
-0.084500;-11.834320
-0.084400;-11.848341
-0.084300;-11.862396
-0.084200;-11.876485
-0.084100;-11.890606
-0.084000;-11.904762
-0.083900;-11.918951
-0.083800;-11.933174
-0.083700;-11.947431
-0.083600;-11.961722
-0.083500;-11.976048
-0.083400;-11.990408
-0.083300;-12.004802
-0.083200;-12.019231
-0.083100;-12.033694
-0.083000;-12.048193
-0.082900;-12.062726
-0.082800;-12.077295
-0.082700;-12.091898
-0.082600;-12.106538
-0.082500;-12.121212
-0.082400;-12.135922
-0.082300;-12.150668
-0.082200;-12.165450
-0.082100;-12.180268
-0.082000;-12.195122
-0.081900;-12.210012
-0.081800;-12.224939
-0.081700;-12.239902
-0.081600;-12.254902
-0.081500;-12.269939
-0.081400;-12.285012
-0.081300;-12.300123
-0.081200;-12.315271
-0.081100;-12.330456
-0.081000;-12.345679
-0.080900;-12.360939
-0.080800;-12.376238
-0.080700;-12.391574
-0.080600;-12.406948
-0.080500;-12.422360
-0.080400;-12.437811
-0.080300;-12.453300
-0.080200;-12.468828
-0.080100;-12.484395
-0.080000;-12.500000
-0.079900;-12.515645
-0.079800;-12.531328
-0.079700;-12.547051
-0.079600;-12.562814
-0.079500;-12.578616
-0.079400;-12.594458
-0.079300;-12.610340
-0.079200;-12.626263
-0.079100;-12.642225
-0.079000;-12.658228
-0.078900;-12.674271
-0.078800;-12.690355
-0.078700;-12.706480
-0.078600;-12.722646
-0.078500;-12.738854
-0.078400;-12.755102
-0.078300;-12.771392
-0.078200;-12.787724
-0.078100;-12.804097
-0.078000;-12.820513
-0.077900;-12.836970
-0.077800;-12.853470
-0.077700;-12.870013
-0.077600;-12.886598
-0.077500;-12.903226
-0.077400;-12.919897
-0.077300;-12.936611
-0.077200;-12.953368
-0.077100;-12.970169
-0.077000;-12.987013
-0.076900;-13.003901
-0.076800;-13.020833
-0.076700;-13.037810
-0.076600;-13.054830
-0.076500;-13.071895
-0.076400;-13.089005
-0.076300;-13.106160
-0.076200;-13.123360
-0.076100;-13.140604
-0.076000;-13.157895
-0.075900;-13.175231
-0.075800;-13.192612
-0.075700;-13.210040
-0.075600;-13.227513
-0.075500;-13.245033
