Layer,Neuron,Weights,Bias
Input,0,-0.211234,0.680375
Hidden,0,1.265251,0.635884
Hidden,1,1.108276,0.724302
Hidden,2,1.119596,-0.055403
Hidden,3,-1.257934,-1.422560
Hidden,4,0.915025,0.747910
Hidden,0,0.286501,-0.398357
Hidden,1,1.196430,0.265975
Hidden,2,0.194127,-0.966864
Hidden,3,0.663223,-0.148628
Hidden,4,1.672720,0.475916
Hidden,0,1.509685,-0.284968
Hidden,1,2.207279,-0.304737
Hidden,2,0.347934,1.309994
Hidden,3,0.500969,-0.695033
Hidden,4,1.382782,0.040829
Hidden,0,1.504735,0.060142
Hidden,1,0.193155,0.750357
Hidden,2,0.109918,0.953618
Hidden,3,0.449820,0.851053
Hidden,4,1.100269,0.066751
Hidden,0,-1.249311,-1.825635
Hidden,1,-2.185526,-1.325106
Hidden,2,-1.859797,-2.289811
Hidden,3,-2.536008,-2.978121
Hidden,4,-1.839555,-1.439431
Output,5-0,0.039227,0.850646,0.361204,0.083799,0.664757,7.049177
