Value; Square root
0.000000;0.000000
0.010000;0.100000
0.020000;0.141421
0.030000;0.173205
0.040000;0.200000
0.050000;0.223607
0.060000;0.244949
0.070000;0.264575
0.080000;0.282843
0.090000;0.300000
0.100000;0.316228
0.110000;0.331662
0.120000;0.346410
0.130000;0.360555
0.140000;0.374166
0.150000;0.387298
0.160000;0.400000
0.170000;0.412311
0.180000;0.424264
0.190000;0.435890
0.200000;0.447214
0.210000;0.458258
0.220000;0.469042
0.230000;0.479583
0.240000;0.489898
0.250000;0.500000
0.260000;0.509902
0.270000;0.519615
0.280000;0.529150
0.290000;0.538516
0.300000;0.547723
0.310000;0.556776
0.320000;0.565685
0.330000;0.574456
0.340000;0.583095
0.350000;0.591608
0.360000;0.600000
0.370000;0.608276
0.380000;0.616441
0.390000;0.624500
0.400000;0.632456
0.410000;0.640312
0.420000;0.648074
0.430000;0.655744
0.440000;0.663325
0.450000;0.670820
0.460000;0.678233
0.470000;0.685565
0.480000;0.692820
0.490000;0.700000
0.500000;0.707107
0.510000;0.714143
0.520000;0.721110
0.530000;0.728011
0.540000;0.734847
0.550000;0.741620
0.560000;0.748331
0.570000;0.754983
0.580000;0.761577
0.590000;0.768115
0.600000;0.774597
0.610000;0.781025
0.620000;0.787401
0.630000;0.793725
0.640000;0.800000
0.650000;0.806226
0.660000;0.812404
0.670000;0.818535
0.680000;0.824621
0.690000;0.830662
0.700000;0.836660
0.710000;0.842615
0.720000;0.848528
0.730000;0.854400
0.740000;0.860233
0.750000;0.866025
0.760000;0.871780
0.770000;0.877496
0.780000;0.883176
0.790000;0.888819
0.800000;0.894427
0.810000;0.900000
0.820000;0.905539
0.830000;0.911043
0.840000;0.916515
0.850000;0.921954
0.860000;0.927362
0.870000;0.932738
0.880000;0.938083
0.890000;0.943398
0.900000;0.948683
0.910000;0.953939
0.920000;0.959166
0.930000;0.964365
0.940000;0.969536
0.950000;0.974679
0.960000;0.979796
0.970000;0.984886
0.980000;0.989949
0.990000;0.994987
1.000000;1.000000
1.010000;1.004988
1.020000;1.009950
1.030000;1.014889
1.040000;1.019804
1.050000;1.024695
1.060000;1.029563
1.070000;1.034408
1.080000;1.039230
1.090000;1.044031
1.100000;1.048809
1.110000;1.053565
1.120000;1.058301
1.130000;1.063015
1.140000;1.067708
1.150000;1.072381
1.160000;1.077033
1.170000;1.081665
1.180000;1.086278
1.190000;1.090871
1.200000;1.095445
1.210000;1.100000
1.220000;1.104536
1.230000;1.109054
1.240000;1.113553
1.250000;1.118034
1.260000;1.122497
1.270000;1.126943
1.280000;1.131371
1.290000;1.135782
1.300000;1.140175
1.310000;1.144552
1.320000;1.148913
1.330000;1.153256
1.340000;1.157584
1.350000;1.161895
1.360000;1.166190
1.370000;1.170470
1.380000;1.174734
1.390000;1.178983
1.400000;1.183216
1.410000;1.187434
1.420000;1.191638
1.430000;1.195826
1.440000;1.200000
1.450000;1.204159
1.460000;1.208305
1.470000;1.212436
1.480000;1.216553
1.490000;1.220656
1.500000;1.224745
1.510000;1.228821
1.520000;1.232883
1.530000;1.236932
1.540000;1.240967
1.550000;1.244990
1.560000;1.249000
1.570000;1.252996
1.580000;1.256981
1.590000;1.260952
1.600000;1.264911
1.610000;1.268858
1.620000;1.272792
1.630000;1.276715
1.640000;1.280625
1.650000;1.284523
1.660000;1.288410
1.670000;1.292285
1.680000;1.296148
1.690000;1.300000
1.700000;1.303840
1.710000;1.307670
1.720000;1.311488
1.730000;1.315295
1.740000;1.319091
1.750000;1.322876
1.760000;1.326650
1.770000;1.330413
1.780000;1.334166
1.790000;1.337909
1.800000;1.341641
1.810000;1.345362
1.820000;1.349074
1.830000;1.352775
1.840000;1.356466
1.850000;1.360147
1.860000;1.363818
1.870000;1.367479
1.880000;1.371131
1.890000;1.374773
1.900000;1.378405
1.910000;1.382027
1.920000;1.385641
1.930000;1.389244
1.940000;1.392839
1.950000;1.396424
1.960000;1.400000
1.970000;1.403567
1.980000;1.407125
1.990000;1.410674
2.000000;1.414214
2.010000;1.417745
2.020000;1.421267
2.030000;1.424781
2.040000;1.428286
2.050000;1.431782
2.060000;1.435270
2.070000;1.438749
2.080000;1.442221
2.090000;1.445683
2.100000;1.449138
2.110000;1.452584
2.120000;1.456022
2.130000;1.459452
2.140000;1.462874
2.150000;1.466288
2.160000;1.469694
2.170000;1.473092
2.180000;1.476482
2.190000;1.479865
2.200000;1.483240
2.210000;1.486607
2.220000;1.489966
2.230000;1.493318
2.240000;1.496663
2.250000;1.500000
2.260000;1.503330
2.270000;1.506652
2.280000;1.509967
2.290000;1.513275
2.300000;1.516575
2.310000;1.519868
2.320000;1.523155
2.330000;1.526434
2.340000;1.529706
2.350000;1.532971
2.360000;1.536229
2.370000;1.539480
2.380000;1.542725
2.390000;1.545962
2.400000;1.549193
2.410000;1.552417
2.420000;1.555635
2.430000;1.558846
2.440000;1.562050
2.450000;1.565248
2.460000;1.568439
2.470000;1.571623
2.480000;1.574802
2.490000;1.577973
2.500000;1.581139
2.510000;1.584298
2.520000;1.587451
2.530000;1.590597
2.540000;1.593738
2.550000;1.596872
2.560000;1.600000
2.570000;1.603122
2.580000;1.606238
2.590000;1.609348
2.600000;1.612452
2.610000;1.615549
2.620000;1.618641
2.630000;1.621727
2.640000;1.624808
2.650000;1.627882
2.660000;1.630951
2.670000;1.634013
2.680000;1.637071
2.690000;1.640122
2.700000;1.643168
2.710000;1.646208
2.720000;1.649242
2.730000;1.652271
2.740000;1.655295
2.750000;1.658312
2.760000;1.661325
2.770000;1.664332
2.780000;1.667333
2.790000;1.670329
2.800000;1.673320
2.810000;1.676305
2.820000;1.679286
2.830000;1.682260
2.840000;1.685230
2.850000;1.688194
2.860000;1.691153
2.870000;1.694107
2.880000;1.697056
2.890000;1.700000
2.900000;1.702939
2.910000;1.705872
2.920000;1.708801
2.930000;1.711724
2.940000;1.714643
2.950000;1.717556
2.960000;1.720465
2.970000;1.723369
2.980000;1.726268
2.990000;1.729162
3.000000;1.732051
3.010000;1.734935
3.020000;1.737815
3.030000;1.740690
3.040000;1.743560
3.050000;1.746425
3.060000;1.749286
3.070000;1.752142
3.080000;1.754993
3.090000;1.757840
3.100000;1.760682
3.110000;1.763519
3.120000;1.766352
3.130000;1.769181
3.140000;1.772005
3.150000;1.774824
3.160000;1.777639
3.170000;1.780449
3.180000;1.783255
3.190000;1.786057
3.200000;1.788854
3.210000;1.791647
3.220000;1.794436
3.230000;1.797220
3.240000;1.800000
3.250000;1.802776
3.260000;1.805547
3.270000;1.808314
3.280000;1.811077
3.290000;1.813836
3.300000;1.816590
3.310000;1.819341
3.320000;1.822087
3.330000;1.824829
3.340000;1.827567
3.350000;1.830301
3.360000;1.833030
3.370000;1.835756
3.380000;1.838478
3.390000;1.841195
3.400000;1.843909
3.410000;1.846619
3.420000;1.849324
3.430000;1.852026
3.440000;1.854724
3.450000;1.857418
3.460000;1.860108
3.470000;1.862794
3.480000;1.865476
3.490000;1.868154
3.500000;1.870829
3.510000;1.873499
3.520000;1.876166
3.530000;1.878829
3.540000;1.881489
3.550000;1.884144
3.560000;1.886796
3.570000;1.889444
3.580000;1.892089
3.590000;1.894730
3.600000;1.897367
3.610000;1.900000
3.620000;1.902630
3.630000;1.905256
3.640000;1.907878
3.650000;1.910497
3.660000;1.913113
3.670000;1.915724
3.680000;1.918333
3.690000;1.920937
3.700000;1.923538
3.710000;1.926136
3.720000;1.928730
3.730000;1.931321
3.740000;1.933908
3.750000;1.936492
3.760000;1.939072
3.770000;1.941649
3.780000;1.944222
3.790000;1.946792
3.800000;1.949359
3.810000;1.951922
3.820000;1.954482
3.830000;1.957039
3.840000;1.959592
3.850000;1.962142
3.860000;1.964688
3.870000;1.967232
3.880000;1.969772
3.890000;1.972308
3.900000;1.974842
3.910000;1.977372
3.920000;1.979899
3.930000;1.982423
3.940000;1.984943
3.950000;1.987461
3.960000;1.989975
3.970000;1.992486
3.980000;1.994994
3.990000;1.997498
4.000000;2.000000
4.010000;2.002498
4.020000;2.004994
4.030000;2.007486
4.040000;2.009975
4.050000;2.012461
4.060000;2.014944
4.070000;2.017424
4.080000;2.019901
4.090000;2.022375
4.100000;2.024846
4.110000;2.027313
4.120000;2.029778
4.130000;2.032240
4.140000;2.034699
4.150000;2.037155
4.160000;2.039608
4.170000;2.042058
4.180000;2.044505
4.190000;2.046949
4.200000;2.049390
4.210000;2.051828
4.220000;2.054264
4.230000;2.056696
4.240000;2.059126
4.250000;2.061553
4.260000;2.063977
4.270000;2.066398
4.280000;2.068816
4.290000;2.071232
4.300000;2.073644
4.310000;2.076054
4.320000;2.078461
4.330000;2.080865
4.340000;2.083267
4.350000;2.085665
4.360000;2.088061
4.370000;2.090454
4.380000;2.092845
4.390000;2.095233
4.400000;2.097618
4.410000;2.100000
4.420000;2.102380
4.430000;2.104757
4.440000;2.107131
4.450000;2.109502
4.460000;2.111871
4.470000;2.114237
4.480000;2.116601
4.490000;2.118962
4.500000;2.121320
4.510000;2.123676
4.520000;2.126029
4.530000;2.128380
4.540000;2.130728
4.550000;2.133073
4.560000;2.135416
4.570000;2.137756
4.580000;2.140093
4.590000;2.142429
4.600000;2.144761
4.610000;2.147091
4.620000;2.149419
4.630000;2.151743
4.640000;2.154066
4.650000;2.156386
4.660000;2.158703
4.670000;2.161018
4.680000;2.163331
4.690000;2.165641
4.700000;2.167948
4.710000;2.170253
4.720000;2.172556
4.730000;2.174856
4.740000;2.177154
4.750000;2.179449
4.760000;2.181742
4.770000;2.184033
4.780000;2.186321
4.790000;2.188607
4.800000;2.190890
4.810000;2.193171
4.820000;2.195450
4.830000;2.197726
4.840000;2.200000
4.850000;2.202272
4.860000;2.204541
4.870000;2.206808
4.880000;2.209072
4.890000;2.211334
4.900000;2.213594
4.910000;2.215852
4.920000;2.218107
4.930000;2.220360
4.940000;2.222611
4.950000;2.224860
4.960000;2.227106
4.970000;2.229350
4.980000;2.231591
4.990000;2.233831
5.000000;2.236068
5.010000;2.238303
5.020000;2.240536
5.030000;2.242766
5.040000;2.244994
5.050000;2.247221
5.060000;2.249444
5.070000;2.251666
5.080000;2.253886
5.090000;2.256103
5.100000;2.258318
5.110000;2.260531
5.120000;2.262742
5.130000;2.264950
5.140000;2.267157
5.150000;2.269361
5.160000;2.271563
5.170000;2.273763
5.180000;2.275961
5.190000;2.278157
5.200000;2.280351
5.210000;2.282542
5.220000;2.284732
5.230000;2.286919
5.240000;2.289105
5.250000;2.291288
5.260000;2.293469
5.270000;2.295648
5.280000;2.297825
5.290000;2.300000
5.300000;2.302173
5.310000;2.304344
5.320000;2.306513
5.330000;2.308679
5.340000;2.310844
5.350000;2.313007
5.360000;2.315167
5.370000;2.317326
5.380000;2.319483
5.390000;2.321637
5.400000;2.323790
5.410000;2.325941
5.420000;2.328089
5.430000;2.330236
5.440000;2.332381
5.450000;2.334524
5.460000;2.336664
5.470000;2.338803
5.480000;2.340940
5.490000;2.343075
5.500000;2.345208
5.510000;2.347339
5.520000;2.349468
5.530000;2.351595
5.540000;2.353720
5.550000;2.355844
5.560000;2.357965
5.570000;2.360085
5.580000;2.362202
5.590000;2.364318
5.600000;2.366432
5.610000;2.368544
5.620000;2.370654
5.630000;2.372762
5.640000;2.374868
5.650000;2.376973
5.660000;2.379075
5.670000;2.381176
5.680000;2.383275
5.690000;2.385372
5.700000;2.387467
5.710000;2.389561
5.720000;2.391652
5.730000;2.393742
5.740000;2.395830
5.750000;2.397916
5.760000;2.400000
5.770000;2.402082
5.780000;2.404163
5.790000;2.406242
5.800000;2.408319
5.810000;2.410394
5.820000;2.412468
5.830000;2.414539
5.840000;2.416609
5.850000;2.418677
5.860000;2.420744
5.870000;2.422808
5.880000;2.424871
5.890000;2.426932
5.900000;2.428992
5.910000;2.431049
5.920000;2.433105
5.930000;2.435159
5.940000;2.437212
5.950000;2.439262
5.960000;2.441311
5.970000;2.443358
5.980000;2.445404
5.990000;2.447448
6.000000;2.449490
6.010000;2.451530
6.020000;2.453569
6.030000;2.455606
6.040000;2.457641
6.050000;2.459675
6.060000;2.461707
6.070000;2.463737
6.080000;2.465766
6.090000;2.467793
6.100000;2.469818
6.110000;2.471841
6.120000;2.473863
6.130000;2.475884
6.140000;2.477902
6.150000;2.479919
6.160000;2.481935
6.170000;2.483948
6.180000;2.485961
6.190000;2.487971
6.200000;2.489980
6.210000;2.491987
6.220000;2.493993
6.230000;2.495997
6.240000;2.497999
6.250000;2.500000
6.260000;2.501999
6.270000;2.503997
6.280000;2.505993
6.290000;2.507987
6.300000;2.509980
6.310000;2.511971
6.320000;2.513961
6.330000;2.515949
6.340000;2.517936
6.350000;2.519921
6.360000;2.521904
6.370000;2.523886
6.380000;2.525866
6.390000;2.527845
6.400000;2.529822
6.410000;2.531798
6.420000;2.533772
6.430000;2.535744
6.440000;2.537716
6.450000;2.539685
6.460000;2.541653
6.470000;2.543619
6.480000;2.545584
6.490000;2.547548
6.500000;2.549510
6.510000;2.551470
6.520000;2.553429
6.530000;2.555386
6.540000;2.557342
6.550000;2.559297
6.560000;2.561250
6.570000;2.563201
6.580000;2.565151
6.590000;2.567100
6.600000;2.569047
6.610000;2.570992
6.620000;2.572936
6.630000;2.574879
6.640000;2.576820
6.650000;2.578759
6.660000;2.580698
6.670000;2.582634
6.680000;2.584570
6.690000;2.586503
6.700000;2.588436
6.710000;2.590367
6.720000;2.592296
6.730000;2.594224
6.740000;2.596151
6.750000;2.598076
6.760000;2.600000
6.770000;2.601922
6.780000;2.603843
6.790000;2.605763
6.800000;2.607681
6.810000;2.609598
6.820000;2.611513
6.830000;2.613427
6.840000;2.615339
6.850000;2.617250
6.860000;2.619160
6.870000;2.621068
6.880000;2.622975
6.890000;2.624881
6.900000;2.626785
6.910000;2.628688
6.920000;2.630589
6.930000;2.632489
6.940000;2.634388
6.950000;2.636285
6.960000;2.638181
6.970000;2.640076
6.980000;2.641969
6.990000;2.643861
7.000000;2.645751
7.010000;2.647640
7.020000;2.649528
7.030000;2.651415
7.040000;2.653300
7.050000;2.655184
7.060000;2.657066
7.070000;2.658947
7.080000;2.660827
7.090000;2.662705
7.100000;2.664583
7.110000;2.666458
7.120000;2.668333
7.130000;2.670206
7.140000;2.672078
7.150000;2.673948
7.160000;2.675818
7.170000;2.677686
7.180000;2.679552
7.190000;2.681418
7.200000;2.683282
7.210000;2.685144
7.220000;2.687006
7.230000;2.688866
7.240000;2.690725
7.250000;2.692582
7.260000;2.694439
7.270000;2.696294
7.280000;2.698148
7.290000;2.700000
7.300000;2.701851
7.310000;2.703701
7.320000;2.705550
7.330000;2.707397
7.340000;2.709243
7.350000;2.711088
7.360000;2.712932
7.370000;2.714774
7.380000;2.716616
7.390000;2.718455
7.400000;2.720294
7.410000;2.722132
7.420000;2.723968
7.430000;2.725803
7.440000;2.727636
7.450000;2.729469
7.460000;2.731300
7.470000;2.733130
7.480000;2.734959
7.490000;2.736786
7.500000;2.738613
7.510000;2.740438
7.520000;2.742262
7.530000;2.744085
7.540000;2.745906
7.550000;2.747726
7.560000;2.749545
7.570000;2.751363
7.580000;2.753180
7.590000;2.754995
7.600000;2.756810
7.610000;2.758623
7.620000;2.760435
7.630000;2.762245
7.640000;2.764055
7.650000;2.765863
7.660000;2.767671
7.670000;2.769476
7.680000;2.771281
7.690000;2.773085
7.700000;2.774887
7.710000;2.776689
7.720000;2.778489
7.730000;2.780288
7.740000;2.782086
7.750000;2.783882
7.760000;2.785678
7.770000;2.787472
7.780000;2.789265
7.790000;2.791057
7.800000;2.792848
7.810000;2.794638
7.820000;2.796426
7.830000;2.798214
7.840000;2.800000
7.850000;2.801785
7.860000;2.803569
7.870000;2.805352
7.880000;2.807134
7.890000;2.808914
7.900000;2.810694
7.910000;2.812472
7.920000;2.814249
7.930000;2.816026
7.940000;2.817801
7.950000;2.819574
7.960000;2.821347
7.970000;2.823119
7.980000;2.824889
7.990000;2.826659
8.000000;2.828427
8.010000;2.830194
8.020000;2.831960
8.030000;2.833725
8.040000;2.835489
8.050000;2.837252
8.060000;2.839014
8.070000;2.840775
8.080000;2.842534
8.090000;2.844293
8.100000;2.846050
8.110000;2.847806
8.120000;2.849561
8.130000;2.851315
8.140000;2.853069
8.150000;2.854820
8.160000;2.856571
8.170000;2.858321
8.180000;2.860070
8.190000;2.861818
8.200000;2.863564
8.210000;2.865310
8.220000;2.867054
8.230000;2.868798
8.240000;2.870540
8.250000;2.872281
8.260000;2.874022
8.270000;2.875761
8.280000;2.877499
8.290000;2.879236
8.300000;2.880972
8.310000;2.882707
8.320000;2.884441
8.330000;2.886174
8.340000;2.887906
8.350000;2.889637
8.360000;2.891366
8.370000;2.893095
8.380000;2.894823
8.390000;2.896550
8.400000;2.898275
8.410000;2.900000
8.420000;2.901724
8.430000;2.903446
8.440000;2.905168
8.450000;2.906888
8.460000;2.908608
8.470000;2.910326
8.480000;2.912044
8.490000;2.913760
8.500000;2.915476
8.510000;2.917190
8.520000;2.918904
8.530000;2.920616
8.540000;2.922328
8.550000;2.924038
8.560000;2.925748
8.570000;2.927456
8.580000;2.929164
8.590000;2.930870
8.600000;2.932576
8.610000;2.934280
8.620000;2.935984
8.630000;2.937686
8.640000;2.939388
8.650000;2.941088
8.660000;2.942788
8.670000;2.944486
8.680000;2.946184
8.690000;2.947881
8.700000;2.949576
8.710000;2.951271
8.720000;2.952965
8.730000;2.954657
8.740000;2.956349
8.750000;2.958040
8.760000;2.959730
8.770000;2.961419
8.780000;2.963106
8.790000;2.964793
8.800000;2.966479
8.810000;2.968164
8.820000;2.969848
8.830000;2.971532
8.840000;2.973214
8.850000;2.974895
8.860000;2.976575
8.870000;2.978255
8.880000;2.979933
8.890000;2.981610
8.900000;2.983287
8.910000;2.984962
8.920000;2.986637
8.930000;2.988311
8.940000;2.989983
8.950000;2.991655
8.960000;2.993326
8.970000;2.994996
8.980000;2.996665
8.990000;2.998333
9.000000;3.000000
9.010000;3.001666
9.020000;3.003331
9.030000;3.004996
9.040000;3.006659
9.050000;3.008322
9.060000;3.009983
9.070000;3.011644
9.080000;3.013304
9.090000;3.014963
9.100000;3.016621
9.110000;3.018278
9.120000;3.019934
9.130000;3.021589
9.140000;3.023243
9.150000;3.024897
9.160000;3.026549
9.170000;3.028201
9.180000;3.029851
9.190000;3.031501
9.200000;3.033150
9.210000;3.034798
9.220000;3.036445
9.230000;3.038092
9.240000;3.039737
9.250000;3.041381
9.260000;3.043025
9.270000;3.044667
9.280000;3.046309
9.290000;3.047950
9.300000;3.049590
9.310000;3.051229
9.320000;3.052868
9.330000;3.054505
9.340000;3.056141
9.350000;3.057777
9.360000;3.059412
9.370000;3.061046
9.380000;3.062679
9.390000;3.064311
9.400000;3.065942
9.410000;3.067572
9.420000;3.069202
9.430000;3.070831
9.440000;3.072458
9.450000;3.074085
9.460000;3.075711
9.470000;3.077337
9.480000;3.078961
9.490000;3.080584
9.500000;3.082207
9.510000;3.083829
9.520000;3.085450
9.530000;3.087070
9.540000;3.088689
9.550000;3.090307
9.560000;3.091925
9.570000;3.093542
9.580000;3.095158
9.590000;3.096773
9.600000;3.098387
9.610000;3.100000
9.620000;3.101612
